Module                  Size  Used by
mtd                    98304  3 spi_nor,cmdlinepart
processor_thermal_rapl    16384  1 processor_thermal_device
videobuf2_v4l2         36864  1 uvcvideo
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
btintel                69632  1 btusb
drm_display_helper    278528  1 i915
rapl                   20480  0
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
btbcm                  24576  1 btusb
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
cec                    94208  2 drm_display_helper,i915
processor_thermal_wt_req    12288  1 processor_thermal_device
iwlwifi               663552  1 iwlmvm
intel_cstate           20480  0
videodev              360448  2 videobuf2_v4l2,uvcvideo
i2c_i801               36864  0
spi_intel_pci          12288  0
btmtk                  36864  1 btusb
rc_core                73728  1 cec
processor_thermal_power_floor    12288  1 processor_thermal_device
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
bluetooth            1011712  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
intel_wmi_thunderbolt    16384  0
lenovo_wmi_hotkey_utilities    12288  0
wmi_bmof               12288  0
snd                   143360  19 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
i2c_smbus              20480  1 i2c_i801
spi_intel              36864  1 spi_intel_pci
mei_me                 53248  2
cfg80211             1433600  3 iwlmvm,iwlwifi,mac80211
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
ideapad_laptop         53248  0
soundcore              16384  2 snd_ctl_led,snd
i2c_algo_bit           16384  1 i915
i2c_mux                16384  1 i2c_i801
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
sparse_keymap          12288  1 ideapad_laptop
int3403_thermal        16384  0
platform_profile       20480  1 ideapad_laptop
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
int3400_thermal        24576  0
joydev                 32768  0
input_leds             12288  0
acpi_thermal_rel       20480  1 int3400_thermal
acpi_pad              184320  0
acpi_tad               20480  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  5 nft_compat,nf_tables,ip_set
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  9 xt_conntrack,nft_compat,xt_tcpudp,xt_addrtype,xt_CHECKSUM,xt_set,ipt_REJECT,ip_tables,xt_MASQUERADE
autofs4                57344  2
hid_multitouch         36864  0
hid_generic            12288  0
nvme                   61440  5
nvme_core             225280  6 nvme
i2c_hid_acpi           12288  0
intel_lpss_pci         28672  0
ahci                   49152  0
i2c_hid                40960  1 i2c_hid_acpi
video                  77824  2 ideapad_laptop,i915
intel_lpss             12288  1 intel_lpss_pci
nvme_auth              28672  1 nvme_core
libahci                53248  1 ahci
idma64                 20480  0
hid                   262144  4 i2c_hid,usbhid,hid_multitouch,hid_generic
wmi                    28672  5 video,intel_wmi_thunderbolt,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop
pinctrl_icelake        28672  0
